ID,sp_type,RAdeg,DEdeg,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,label
*  11 Peg,A0V,326.80817,2.6861236,5.556,,5.76,,5.947,,6.072,,6.171,,5.539,5.374,5.53,5.435,0.162,0.05,0.015,0.044,5.562,5.539,5.479,0.017,0.026,0.02,0
HD 203977,A0,321.20044,25.880459,,,7.6116,0.001,,,7.5167,0.001,13.5874,0.0028,6.88,6.919,6.946,6.484,0.059,0.02,0.016,0.059,6.896,6.921,6.932,0.026,0.024,0.016,0
HD  83162,A0III/IV,144.03845,-12.459262,10.512,,10.692,,10.866,,10.989,,11.045,,10.36,10.387,10.402,8.625,0.022,0.02,0.074,,10.408,10.4,10.378,0.026,0.021,0.023,0
*  10 Boo,A0Vs,209.66217,21.696203,,,,,6.8603,0.1042,,,5.8626,0.001,5.691,5.619,5.752,5.688,0.149,0.046,0.015,0.037,5.671,5.717,5.704,0.023,0.063,0.02,0
HD  27616,A0V,65.16255,-20.63962,,,,,6.3206,0.0,5.9504,0.0031,5.4329,0.001,5.405,5.225,5.429,5.389,0.169,0.072,0.015,0.036,5.43,5.402,5.333,0.054,0.036,0.017,0
*  34 Hya,A0Vp,144.46461,-9.424448,6.302,,6.532,,6.736,,6.889,,7.04,,6.443,6.415,6.535,6.423,0.078,0.025,0.016,0.052,6.429,6.469,6.473,0.02,0.033,0.02,0
HD 181680,A0,289.90042,40.585346,8.064,,8.213,,8.368,,8.475,,8.524,,7.796,7.84,7.846,7.904,0.027,0.021,0.018,0.153,7.817,7.858,7.822,0.035,0.018,9.995,0
HD 223386,A0V,357.22482,59.978935,,,7.3269,0.001,,,7.1007,0.001,6.0636,0.0045,6.336,6.292,6.419,6.489,0.076,0.024,0.016,0.053,6.301,6.326,6.331,0.029,0.029,0.02,0
HD  50853,A0V,103.48106,-24.538754,6.058,,6.295,,6.507,,6.664,,6.735,,6.141,6.016,6.158,6.14,0.092,0.032,0.015,0.046,6.133,6.164,6.135,0.021,0.046,0.02,0
HD 133029,A0VspSiSrCr,225.16133,47.277443,,,7.0689,0.0034,7.1368,0.0,6.8518,0.1584,,,6.597,6.612,6.693,6.677,0.07,0.021,0.016,0.05,6.492,6.585,6.57,0.035,0.047,0.018,0
